worker_id,assignments_done,items_done,controls_done,controls_correct,control_accuracy,median_duration_sec,mean_duration_sec,yes_count,no_count,not_working_count,yes_share,no_share,not_working_share,quality_segment
0b454b1b-9c56-43d5-a68e-66ff8bb3d553,3,30,6,2,0.3333333333333333,102.0,95.0,27,3,0,0.9,0.1,0.0,bad
0b6129db-6925-4dc4-ae3f-3f4b05a2385a,4,40,8,4,0.5,384.0,649.0,19,20,1,0.475,0.5,0.025,bad
0b6f4abb-98b0-450c-a32c-443665890521,23,228,46,38,0.8260869565217391,230.0,263.35087719298247,92,117,19,0.40350877192982454,0.5131578947368421,0.08333333333333333,risky
0b759893-3c91-44da-851d-0fb2f29eb958,4,40,8,6,0.75,89.0,98.5,26,12,2,0.65,0.3,0.05,risky
0b8b449a-0aee-42d4-95ca-926960aeddfe,10,100,10,8,0.8,271.0,296.8,56,39,5,0.56,0.39,0.05,risky
0ba1d12b-3091-47e0-8c8a-3b510bd3720f,13,130,13,9,0.6923076923076923,331.0,356.84615384615387,73,49,8,0.5615384615384615,0.3769230769230769,0.06153846153846154,risky
0bdffb6e-31b3-460b-8c80-cb765436c93f,4,40,8,4,0.5,602.5,812.75,29,10,1,0.725,0.25,0.025,bad
0be692ec-ec2a-4a3e-a8c5-ac14d645f6c0,1,10,1,0,0.0,70.0,70.0,3,6,1,0.3,0.6,0.1,unknown_low_controls
0c047659-770b-4c61-84a4-96653af1ac79,2,20,2,1,0.5,540.0,540.0,12,8,0,0.6,0.4,0.0,unknown_low_controls
0c1d2a70-c103-404f-9255-2719407438c7,4,40,8,4,0.5,1124.5,1103.25,23,17,0,0.575,0.425,0.0,bad
0c37ff1a-1178-4c25-aabb-2368095f4793,46,230,46,39,0.8478260869565217,114.0,135.80434782608697,127,96,7,0.5521739130434783,0.41739130434782606,0.030434782608695653,risky
0c3e7f72-094a-4856-b46b-7cd9b4e8fb4b,5,50,10,6,0.6,1173.0,1226.0,37,13,0,0.74,0.26,0.0,bad
0c5e4cc4-b353-4a51-85d7-0a20a101c390,6,60,12,8,0.6666666666666666,454.5,437.5,33,27,0,0.55,0.45,0.0,risky
0c68da45-844a-42fc-8be6-6ec74c7c84f4,14,140,14,10,0.7142857142857143,232.5,247.64285714285714,67,68,5,0.4785714285714286,0.4857142857142857,0.03571428571428571,risky
0c88120b-8de7-47b4-93f5-3e7e9ed97555,4,40,8,5,0.625,459.0,465.75,25,11,4,0.625,0.275,0.1,bad
0c9b4d38-8a9a-4cfe-830b-e2fa5eaf1f20,4,40,4,2,0.5,922.5,948.75,17,20,3,0.425,0.5,0.075,unknown_low_controls
0cd7c540-9055-4c31-865f-8ff4c276a20b,7,70,7,5,0.7142857142857143,444.0,455.42857142857144,47,20,3,0.6714285714285714,0.2857142857142857,0.04285714285714286,risky
0cdfb536-ebbc-44de-aaac-357c2b377922,9,90,9,6,0.6666666666666666,748.0,744.5555555555555,37,47,6,0.4111111111111111,0.5222222222222223,0.06666666666666667,risky
0d543407-53b9-4985-a59e-ac6b1c13f959,17,85,17,13,0.7647058823529411,310.0,328.8235294117647,30,54,1,0.35294117647058826,0.6352941176470588,0.011764705882352941,risky
0d8c67aa-bf6a-43a2-9bb2-a137bb6a1fab,2,20,4,1,0.25,203.0,203.0,12,7,1,0.6,0.35,0.05,unknown_low_controls
0d9ea10b-da1e-4fd8-a2eb-86b8360f827d,7,70,14,10,0.7142857142857143,308.0,302.14285714285717,40,29,1,0.5714285714285714,0.4142857142857143,0.014285714285714285,risky
0dabafb8-52bd-4564-8bb9-38164761c77f,7,70,14,10,0.7142857142857143,356.0,369.85714285714283,31,35,4,0.44285714285714284,0.5,0.05714285714285714,risky
0dc5dc0a-3c8b-481d-82d5-d200635a7d79,10,100,10,6,0.6,481.5,469.3,55,39,6,0.55,0.39,0.06,bad
0dc768da-cdf6-426e-a4ff-c40a41a6a30f,15,150,15,11,0.7333333333333333,292.0,296.8666666666667,57,90,3,0.38,0.6,0.02,risky
0e33e859-c5ac-4bf9-8077-56415508fcf0,3,30,6,3,0.5,249.0,310.3333333333333,21,4,5,0.7,0.13333333333333333,0.16666666666666666,bad
0e4bbefe-7aa0-45c2-a924-fbc0423cbde8,4,40,8,4,0.5,504.0,471.75,20,15,5,0.5,0.375,0.125,bad
0e50b092-2e05-4510-9b48-2a39450994eb,2,20,4,2,0.5,868.5,868.5,14,5,1,0.7,0.25,0.05,unknown_low_controls
0e5f4907-908a-4327-bce8-f5bce506bcb3,5,50,8,4,0.5,356.0,366.2,23,26,1,0.46,0.52,0.02,bad
0e65361b-18be-444d-b5b5-b024b386e424,1,10,2,0,0.0,659.0,659.0,8,2,0,0.8,0.2,0.0,unknown_low_controls
0e750d48-069c-4945-8c77-47e6b43f548a,8,80,16,12,0.75,102.0,172.125,43,37,0,0.5375,0.4625,0.0,risky
0eab123d-bb51-41fd-b39e-3930f220d74e,13,130,13,10,0.7692307692307693,289.0,428.7692307692308,65,55,10,0.5,0.4230769230769231,0.07692307692307693,risky
0eb43c51-3f7c-454a-92ed-45b24bb970d5,21,105,21,17,0.8095238095238095,134.0,173.28571428571428,47,49,9,0.44761904761904764,0.4666666666666667,0.08571428571428572,risky
0ec0241e-ab91-4f51-85e0-725440645da7,9,90,16,12,0.75,477.0,493.6666666666667,53,35,2,0.5888888888888889,0.3888888888888889,0.022222222222222223,risky
0ec8b295-9efe-4139-abfb-a1359742845f,7,70,7,4,0.5714285714285714,279.0,373.85714285714283,41,27,2,0.5857142857142857,0.38571428571428573,0.02857142857142857,bad
0ef6fe3a-6402-4c52-9fb2-f8f38f59d6cb,1,10,2,0,0.0,905.0,905.0,7,3,0,0.7,0.3,0.0,unknown_low_controls
0ef975bc-eb3b-46f7-8c04-72f35265346b,4,40,4,2,0.5,68.5,100.25,10,26,4,0.25,0.65,0.1,unknown_low_controls
0f34fc2f-092f-45e8-97c5-e529f6e1cbb9,16,160,23,18,0.782608695652174,244.5,252.875,84,75,1,0.525,0.46875,0.00625,risky
0f57f9da-217f-4910-aad6-24995f07225d,8,80,16,12,0.75,199.0,226.875,44,30,6,0.55,0.375,0.075,risky
0f6b6819-1d4c-4c4b-aa84-0e6028cd184a,3,30,3,1,0.3333333333333333,435.0,689.3333333333334,13,15,2,0.43333333333333335,0.5,0.06666666666666667,unknown_low_controls
0f776b43-b4aa-4c0d-8919-35d8a0193873,6,60,12,7,0.5833333333333334,269.0,269.5,39,18,3,0.65,0.3,0.05,bad
0f808b11-0202-4219-b0d7-781d0857cb5c,5,50,10,6,0.6,558.0,598.2,31,19,0,0.62,0.38,0.0,bad
0f87a894-4a31-467c-9ebf-3e1ac6cf1795,4,40,8,4,0.5,326.5,340.75,21,17,2,0.525,0.425,0.05,bad
0f969cac-10b1-4e7d-880c-faf0177c8b2b,14,137,15,11,0.7333333333333333,811.0,794.7956204379562,77,54,6,0.5620437956204379,0.39416058394160586,0.043795620437956206,risky
0fc5a12f-922e-401c-966a-3e3336fd129a,3,30,6,3,0.5,663.0,691.3333333333334,22,8,0,0.7333333333333333,0.26666666666666666,0.0,bad
100718bc-7b0a-4cfe-ab1c-0d3b614b878d,3,30,6,3,0.5,29.0,29.0,23,7,0,0.7666666666666667,0.23333333333333334,0.0,bad
10174146-1fed-4cb1-9a07-48e39a42ab0a,11,55,11,8,0.7272727272727273,154.0,164.0,28,21,6,0.509090909090909,0.38181818181818183,0.10909090909090909,risky
1029ea15-c60a-48f6-8668-bf9bc628275c,5,25,5,5,1.0,243.0,259.4,11,13,1,0.44,0.52,0.04,good
108c737b-dbcd-4d83-a221-65fa930d29e1,32,275,32,26,0.8125,416.0,473.1818181818182,159,112,4,0.5781818181818181,0.4072727272727273,0.014545454545454545,risky
10a3906a-f0b0-41af-ac96-b99cf35a525b,8,80,8,5,0.625,365.0,425.75,37,41,2,0.4625,0.5125,0.025,bad
