workflow,url,gold_answer,n_workers_total,n_attempts_total,n_repeated_worker_votes,n_conflicted_workers,n_valid_votes,n_correct,n_incorrect,correct_share,incorrect_share,repeat_worker_share,conflict_worker_share,yes_count,yes_share,no_count,no_share,not_working_count,not_working_share,eligible_by_n,is_difficult,is_ambiguous,is_conflicted_repeats,flag
REGION_MARKUP,https://rossantech.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rosspecavto.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rossvik-penza.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rostms.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rowrug.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://royal-thermo-radiator.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://royalclima-rus.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://royalenfieldparts.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://royalhom.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://royalspirit.shop,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rozanahodka.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rozarioflowers.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rr-seedshop.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rs-motor.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rtlineagro.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://ru-complect.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rukagreka.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rukonig.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rulru.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rumba-slv.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rupechi.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rurose.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rus-diesel.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rus-ugg.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rusalia.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rusautoopt.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rusdk.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rusgvozdi.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rusholding.su,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://russianpeptide.com,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://russianteazen.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://russteels.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rybinskexpo.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://rybolov-kem.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
